gen	neutral	del	ben
399 	 710.017 	 63.618 	 53.638
400 	 711.169 	 63.956 	 53.904
401 	 712.245 	 63.89 	 54.279
402 	 714.823 	 64.152 	 54.596
403 	 716.863 	 64.218 	 54.975
404 	 718.623 	 64.089 	 55.077
405 	 720.089 	 64.352 	 55.44
406 	 721.227 	 64.639 	 56.016
407 	 723.395 	 64.943 	 56.167
408 	 726.239 	 64.914 	 56.374
409 	 726.693 	 64.798 	 56.552
410 	 727.754 	 65.212 	 56.905
411 	 729.616 	 65.486 	 57.041
412 	 729.958 	 65.434 	 57.254
413 	 730.106 	 65.636 	 57.518
414 	 731.59 	 65.63 	 57.673
415 	 732.159 	 65.871 	 57.918
416 	 733.547 	 66.243 	 58.203
417 	 734.986 	 66.498 	 58.687
418 	 736.417 	 66.563 	 58.878
419 	 737.888 	 66.71 	 58.944
420 	 738.092 	 66.855 	 59.447
421 	 740.349 	 66.903 	 59.857
422 	 741.474 	 67.318 	 59.968
423 	 742.333 	 67.461 	 60.256
424 	 744.062 	 67.555 	 60.828
425 	 746.578 	 67.512 	 61.122
426 	 747.901 	 67.716 	 61.574
427 	 749.516 	 67.812 	 61.803
428 	 752.342 	 68.098 	 61.896
429 	 753.05 	 68.367 	 62.11
430 	 754.184 	 68.661 	 62.257
431 	 756.629 	 68.834 	 62.47
432 	 757.315 	 69.05 	 62.849
433 	 758.961 	 69.285 	 63.275
434 	 760.988 	 69.617 	 63.588
435 	 763.534 	 69.56 	 63.815
436 	 765.123 	 69.955 	 64.025
437 	 767.417 	 69.97 	 64.352
438 	 767.931 	 70.216 	 64.514
439 	 769.022 	 70.342 	 64.773
440 	 770.636 	 70.241 	 65.093
441 	 771.586 	 70.445 	 65.351
442 	 773.006 	 70.621 	 65.487
443 	 774.594 	 70.977 	 65.764
444 	 776.085 	 71.125 	 65.844
445 	 777.406 	 71.274 	 66.121
446 	 778.432 	 71.561 	 66.512
447 	 779.951 	 71.48 	 66.764
448 	 783.663 	 71.813 	 66.898
449 	 786.145 	 71.978 	 67.284
450 	 786.929 	 72.185 	 67.573
451 	 788.986 	 72.601 	 67.848
452 	 790.442 	 72.393 	 68.175
453 	 792.188 	 72.855 	 68.23
454 	 792.94 	 73.199 	 68.596
455 	 794.069 	 73.326 	 68.692
456 	 796.871 	 73.321 	 69.119
457 	 797.404 	 73.133 	 69.27
458 	 799.339 	 73.46 	 69.634
459 	 800.889 	 73.666 	 69.696
460 	 801.117 	 73.648 	 69.698
461 	 803.28 	 73.811 	 69.857
462 	 804.012 	 74.168 	 70.143
463 	 806.178 	 74.137 	 70.54
464 	 807.352 	 74.559 	 70.706
465 	 809.179 	 74.82 	 71.051
466 	 811.333 	 74.995 	 71.57
467 	 812.932 	 75.388 	 71.857
468 	 814.192 	 75.44 	 72.314
469 	 815.995 	 75.988 	 72.53
470 	 817.45 	 76.119 	 72.615
471 	 818.108 	 76.351 	 73.117
472 	 820.833 	 76.329 	 73.359
473 	 823.166 	 76.427 	 73.748
474 	 826.599 	 76.66 	 74.442
475 	 828.631 	 76.595 	 74.568
476 	 829.097 	 76.683 	 74.945
477 	 830.312 	 76.389 	 75.567
478 	 832.947 	 76.389 	 75.758
479 	 834.542 	 76.372 	 76.345
480 	 835.75 	 76.491 	 76.609
481 	 838.638 	 76.972 	 76.733
482 	 840.947 	 77.425 	 76.852
483 	 843.98 	 77.378 	 77.244
484 	 847.121 	 77.27 	 77.479
485 	 847.767 	 77.413 	 77.668
486 	 849.648 	 77.614 	 77.814
487 	 852.194 	 77.589 	 78.161
488 	 853.606 	 77.821 	 78.374
489 	 855.408 	 78.248 	 78.601
490 	 857.627 	 78.489 	 78.875
491 	 859.427 	 78.552 	 79.234
492 	 861.002 	 78.782 	 79.247
493 	 863.453 	 79.011 	 79.549
494 	 865.77 	 79.337 	 79.903
495 	 868.396 	 79.804 	 80.043
496 	 870.665 	 79.615 	 80.169
497 	 871.951 	 79.827 	 80.196
498 	 872.892 	 80.017 	 80.481
499 	 873.979 	 80.072 	 80.98
500 	 875.422 	 80.536 	 81.202
501 	 876.46 	 80.572 	 81.448
502 	 877.181 	 81.131 	 81.661
503 	 878.853 	 80.862 	 82.124
504 	 879.469 	 81.096 	 82.212
505 	 879.275 	 81.134 	 82.671
506 	 882.925 	 81.352 	 83.107
507 	 884.708 	 81.375 	 83.583
508 	 886.528 	 81.186 	 84.103
509 	 888.581 	 81.416 	 84.864
510 	 889.32 	 81.672 	 85.222
511 	 891.872 	 82.02 	 85.714
512 	 894.548 	 82.33 	 86.064
513 	 897.839 	 82.215 	 86.381
514 	 900.192 	 82.384 	 86.9
515 	 901.688 	 82.796 	 87.214
516 	 904.349 	 82.748 	 87.473
517 	 906.309 	 82.704 	 87.901
518 	 908.734 	 82.509 	 88.142
519 	 910.058 	 82.659 	 88.503
520 	 913.253 	 82.703 	 88.609
521 	 914.955 	 82.798 	 89.09
522 	 916.931 	 82.967 	 89.43
523 	 920.525 	 83.332 	 89.788
524 	 922.074 	 83.933 	 90.283
525 	 923.039 	 83.684 	 90.441
526 	 926.059 	 84.003 	 90.727
